Rank	Country	GDP
1	 Luxembourg	89,164
2	 Norway	61,870
3	 Switzerland	51,224
4	 United States	48,043
5	 Netherlands	42,838
6	 Austria	42,132
7	 Australia	41,993e
8	 Ireland	41,511e
9	 Sweden	41,467
10	 Denmark	40,929
11	 Canada	40,489e
12	 Germany	39,518
13	 Belgium	38,872
14	 Finland	37,642
15	 Iceland	35,999
16	 United Kingdom	35,642
17	 France	35,133
18	 Japan	34,031e
19	 Italy	32,927
20	 Spain	32,197
21	 South Korea	30,254
22	 New Zealand	30,199e
23	 Israel	27,968e
24	 Slovenia	27,811
25	 Czech Republic	26,389
26	 Greece	26,113
27	 Portugal	25,336
28	 Slovakia	24,035
29	 Estonia	21,909
30	 Hungary	21,403
31	 Poland	21,313e
32	 Turkey	17,468
33	 Chile	17,312
34	 Mexico	15,980e
